TABLE,RESPONSE,GROUP,GROUP WEIGHTED %,GROUP WEIGHTED #,WEIGHTED SAMPLE SIZE (#),UNWEIGHTED SAMPLE SIZE (#)
TABLE AD5: FIRST MENTION [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?,Privacy,EDUCATION: Grad P.S.,0,0,119.7342289,129
TABLE AD5: FIRST MENTION [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?,Other,EDUCATION: Grad P.S.,3.448164662,4.128633371,119.7342289,129
TABLE AD5: FIRST MENTION [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?,Dont know/No answer,EDUCATION: Grad P.S.,0,0,119.7342289,129
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,NOVA SCOTIA %,30.1204486,66.02479887,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,NOVA SCOTIA %,23.90933229,52.40987198,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,NOVA SCOTIA %,15.06058922,33.01319934,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,NOVA SCOTIA %,11.54309787,25.30276774,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",NOVA SCOTIA %,11.16963,24.48411656,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,NOVA SCOTIA %,8.161749705,17.8907655,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,NOVA SCOTIA %,4.157644107,9.113662931,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,NOVA SCOTIA %,3.042798705,6.669893105,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,NOVA SCOTIA %,2.785135281,6.105088246,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,NOVA SCOTIA %,2.638433322,5.783513774,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,NOVA SCOTIA %,1.939427857,4.251275798,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,NOVA SCOTIA %,0.366823141,0.804085769,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,NOVA SCOTIA %,0.245378302,0.537875555,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,NOVA SCOTIA %,6.830777469,14.97324009,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,NOVA SCOTIA %,0.315267152,0.691073715,219.2025748,242
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,REGION: Halifax,30.74246156,33.85003042,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,REGION: Halifax,27.1714452,29.9180417,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,REGION: Halifax,19.81708758,21.82027669,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,REGION: Halifax,9.459332908,10.41551947,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",REGION: Halifax,8.362429612,9.207736871,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,REGION: Halifax,7.940942771,8.743644483,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,REGION: Halifax,4.436223362,4.884654259,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,REGION: Halifax,4.68180918,5.155064857,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,REGION: Halifax,1.575679549,1.734955432,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,REGION: Halifax,4.356381667,4.796741852,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,REGION: Halifax,2.877868141,3.168774366,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,REGION: Halifax,0,0,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,REGION: Halifax,0.488496417,0.537875555,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,REGION: Halifax,3.856530095,4.246363318,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,REGION: Halifax,0,0,110.1083931,126
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,REGION: Cape Breton,22.72986814,8.374441059,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,REGION: Cape Breton,25.87031824,9.531487554,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,REGION: Cape Breton,13.77733278,5.076028623,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,REGION: Cape Breton,16.44727218,6.059723293,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",REGION: Cape Breton,9.664679504,3.560790074,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,REGION: Cape Breton,9.581435304,3.530120136,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,REGION: Cape Breton,2.182445775,0.804085769,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,REGION: Cape Breton,4.111539635,1.514828248,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,REGION: Cape Breton,7.307393066,2.692287177,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,REGION: Cape Breton,0,0,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,REGION: Cape Breton,0,0,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,REGION: Cape Breton,2.182445775,0.804085769,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,REGION: Cape Breton,0,0,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,REGION: Cape Breton,9.171339292,3.379027096,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,REGION: Cape Breton,0,0,36.84333322,31
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,REGION: Rest of mainland,32.94124277,23.80032738,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,REGION: Rest of mainland,17.93797998,12.96034272,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,REGION: Rest of mainland,8.466189897,6.116894029,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,REGION: Rest of mainland,12.21788418,8.827524982,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",REGION: Rest of mainland,16.21515854,11.71558961,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,REGION: Rest of mainland,7.774304388,5.617000879,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,REGION: Rest of mainland,4.740322056,3.424922903,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,REGION: Rest of mainland,0,0,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,REGION: Rest of mainland,2.322250429,1.677845637,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,REGION: Rest of mainland,1.365758249,0.986771922,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,REGION: Rest of mainland,1.498254285,1.082501432,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,REGION: Rest of mainland,0,0,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,REGION: Rest of mainland,0,0,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,REGION: Rest of mainland,10.16991473,7.347849674,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,REGION: Rest of mainland,0.95649218,0.691073715,72.25084842,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,GENDER: M,29.389718,26.26468779,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,GENDER: M,28.52458983,25.49154933,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,GENDER: M,15.24482494,13.62383156,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,GENDER: M,10.21502013,9.128849569,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",GENDER: M,11.48071861,10.2599654,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,GENDER: M,7.820577039,6.989009363,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,GENDER: M,1.933628033,1.72802395,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,GENDER: M,3.695879152,3.302893619,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,GENDER: M,1.173564508,1.048778536,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,GENDER: M,2.807229613,2.508734835,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,GENDER: M,2.010162637,1.796420574,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,GENDER: M,0,0,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,GENDER: M,0.601873169,0.537875555,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,GENDER: M,4.988930365,4.458453751,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,GENDER: M,0,0,89.36692687,99
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,GENDER: F,30.62341639,39.76011107,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,GENDER: F,20.73261318,26.91832265,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,GENDER: F,14.93377828,19.38936779,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,GENDER: F,12.45722453,16.17391817,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",GENDER: F,10.9555052,14.22415116,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,GENDER: F,8.396581611,10.90175614,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,GENDER: F,5.688452364,7.385638981,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,GENDER: F,2.593278149,3.366999486,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,GENDER: F,3.894392482,5.05630971,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,GENDER: F,2.522249469,3.274778939,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,GENDER: F,1.890740535,2.454855224,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,GENDER: F,0.619310476,0.804085769,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,GENDER: F,0,0,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,GENDER: F,8.098535732,10.51478634,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,GENDER: F,0.532268084,0.691073715,129.8356479,143
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,HH INCOME: L.T. $50K,38.55569973,30.92957485,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,HH INCOME: L.T. $50K,27.51393739,22.07181797,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,HH INCOME: L.T. $50K,8.365189925,6.710597129,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,HH INCOME: L.T. $50K,9.791978212,7.855173817,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",HH INCOME: L.T. $50K,7.733571462,6.203909644,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,HH INCOME: L.T. $50K,6.669857357,5.350592877,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,HH INCOME: L.T. $50K,3.548795215,2.846861242,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,HH INCOME: L.T. $50K,4.197180912,3.366999486,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,HH INCOME: L.T. $50K,3.024201005,2.426029147,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,HH INCOME: L.T. $50K,0.855363531,0.686176896,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,HH INCOME: L.T. $50K,0.855363531,0.686176896,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,HH INCOME: L.T. $50K,0,0,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,HH INCOME: L.T. $50K,0,0,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,HH INCOME: L.T. $50K,6.985554547,5.603846739,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,HH INCOME: L.T. $50K,0,0,80.22049934,93
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,HH INCOME: $50- <$100K,25.78782919,20.61680817,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,HH INCOME: $50- <$100K,26.81273632,21.43619911,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,HH INCOME: $50- <$100K,15.12692258,12.09364537,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,HH INCOME: $50- <$100K,8.092871083,6.470074289,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",HH INCOME: $50- <$100K,13.78188172,11.01831447,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,HH INCOME: $50- <$100K,7.232618259,5.78232088,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,HH INCOME: $50- <$100K,4.689706585,3.749318343,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,HH INCOME: $50- <$100K,4.131311491,3.302893619,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,HH INCOME: $50- <$100K,3.367555312,2.692287177,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,HH INCOME: $50- <$100K,4.329091197,3.461014189,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Trust/Confidence in health care provider,HH INCOME: $50- <$100K,3.786498762,3.027223347,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont have to make an appointment,HH INCOME: $50- <$100K,0,0,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Privacy,HH INCOME: $50- <$100K,0.672783237,0.537875555,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Other,HH INCOME: $50- <$100K,9.726210834,7.77589387,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Dont know/No answer,HH INCOME: $50- <$100K,0,0,79.9478235,85
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Established relationship with health care provider,HH INCOME: $100K+,23.46377815,8.861376299,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Habit/Where always get flu shot,HH INCOME: $100K+,15.08205491,5.695918323,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Convenience/Was already there,HH INCOME: $100K+,21.21604851,8.012494331,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Ability to book an appointment when it is convenient,HH INCOME: $100K+,23.29672948,8.798288374,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,"More accessible (e.g., after hours)",HH INCOME: $100K+,17.09943671,6.457806676,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,I can discuss other medical issues,HH INCOME: $100K+,15.3647273,5.802672932,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Recommended by health care provider,HH INCOME: $100K+,4.849062585,1.83130645,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less wait time,HH INCOME: $100K+,0,0,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,Less travel,HH INCOME: $100K+,2.612844403,0.986771922,37.76619538,39
TABLE AD5: TOTAL MENTIONS [ASK IF A DOCTORS OFFICE IN AD2/AD4] Why did you choose that location?  Any other reasons?,No waiting in lineups,HH INCOME: $100K+,2.424531293,0.915653225,37.76619538,39
